Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
05/22/19,112-0000000-0000020,Visa - 5555,Amazon.com,,your_email@gmail.com,05/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$16.98,$0.00,$0.93,$0.00,$0.93,$17.91,Your Name,
05/22/19,112-0000000-0000021,Visa - 5555,Amazon.com,,your_email@gmail.com,05/23/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$35.00,$0.00,$1.92,$0.00,$1.92,$36.92,Your Name,
05/22/19,112-0000000-0000022,Visa - 5555,Amazon.com,,your_email@gmail.com,05/23/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.50,$0.00,$0.41,$0.00,$0.41,$7.91,Your Name,
05/24/19,112-0000000-0000023,Visa - 0001,Amazon.com,,your_email@gmail.com,05/25/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.67,$0.00,$0.00,$0.00,$0.00,$7.67,Your Name,
05/25/19,112-0000000-0000024,Visa - 0001,Amazon.com,,your_email@gmail.com,05/27/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.80,$0.00,$0.00,$0.00,$0.00,$9.80,Your Name,
05/28/19,112-0000000-0000025,Visa - 0001,Amazon.com,,your_email@gmail.com,05/28/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$13.95,$0.00,$0.00,$0.00,$0.00,$13.95,Your Name,
05/29/19,112-0000000-0000026,Visa - 0001,Amazon.com,,your_email@gmail.com,05/30/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.99,$0.00,$0.00,$0.00,$0.00,$9.99,Your Name,
05/30/19,112-0000000-0000027,Visa - 0001,Amazon.com,,your_email@gmail.com,06/01/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$10.98,$0.00,$0.60,$0.00,$0.60,$11.58,Your Name,
05/30/19,112-0000000-0000028,Visa - 0001,Amazon.com,,your_email@gmail.com,05/30/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$32.98,$0.00,$0.82,$0.00,$0.82,$33.80,Your Name,
06/03/19,112-0000000-0000029,Visa - 0001,Amazon.com,,your_email@gmail.com,06/05/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$28.99,$0.00,$0.00,$0.00,$0.00,$28.99,Your Name,
06/03/19,112-0000000-0000030,Visa - 0001,Amazon.com,,your_email@gmail.com,06/05/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$13.88,$0.00,$0.00,$0.00,$0.00,$13.88,Your Name,
06/05/19,112-0000000-0000031,Visa - 0001,Amazon.com,,your_email@gmail.com,06/05/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$11.62,$0.00,$0.64,$0.00,$0.64,$12.26,Your Name,
06/18/19,112-0000000-0000032,Visa - 0001,Amazon.com,,your_email@gmail.com,06/19/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$11.98,$0.00,$0.66,$0.00,$0.66,$12.64,Your Name,
06/25/19,112-0000000-0000033,Visa - 0001,Amazon.com,,your_email@gmail.com,06/26/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$51.99,$0.00,$0.00,$0.00,$0.00,$51.99,Your Name,
06/25/19,112-0000000-0000034,Visa - 0001,Amazon.com,,your_email@gmail.com,06/26/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$10.59,$0.00,$0.00,$0.00,$0.00,$10.59,Your Name,
07/03/19,112-0000000-0000035,Visa - 0001,Amazon.com,,your_email@gmail.com,07/04/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.94,$3.99,$0.00,$0.00,$0.00,$11.93,Your Name,
07/03/19,112-0000000-0000036,Visa - 0001,Amazon.com,,your_email@gmail.com,07/05/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$8.32,$7.96,$0.00,$0.00,$0.00,$16.28,Your Name,
07/03/19,112-0000000-0000037,Visa - 0001,Amazon.com,,your_email@gmail.com,07/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$25.62,$0.00,$0.85,$0.00,$0.85,$26.47,Your Name,
07/03/19,112-0000000-0000038,Visa - 0001,Amazon.com,,your_email@gmail.com,07/05/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$0.52,$4.95,$0.00,$0.00,$0.00,$5.47,Your Name,
07/03/19,112-0000000-0000039,Visa - 0001,Amazon.com,,your_email@gmail.com,07/04/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$5.43,$3.99,$0.00,$0.00,$0.00,$9.42,Your Name,
07/06/19,112-0000000-0000040,Visa - 5555,Amazon.com,,your_email@gmail.com,07/07/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.99,$0.00,$0.00,$0.00,$0.00,$12.99,Your Name,
07/06/19,112-0000000-0000041,Visa - 5555,Amazon.com,,your_email@gmail.com,07/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$102.47,$0.00,$4.95,$0.00,$4.95,$107.42,Your Name,
07/06/19,112-0000000-0000042,Visa - 5555,Amazon.com,,your_email@gmail.com,07/07/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$79.97,$0.00,$0.00,$10.00,$0.00,$69.97,Your Name,
07/06/19,112-0000000-0000043,Visa - 5555,Amazon.com,,your_email@gmail.com,07/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$49.99,$0.00,$0.00,$4.00,$0.00,$45.99,Your Name,
07/06/19,112-0000000-0000044,Visa - 0001,Amazon.com,,your_email@gmail.com,07/07/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$199.99,$0.00,$11.00,$0.00,$11.00,$210.99,Your Name,
07/07/19,112-0000000-0000045,Visa - 0001,Amazon.com,,your_email@gmail.com,07/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$41.97,$0.00,$0.00,$0.00,$0.00,$41.97,Your Name,
07/09/19,112-0000000-0000046,Visa - 0001,Amazon.com,,your_email@gmail.com,07/09/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$15.60,$0.00,$0.86,$0.00,$0.86,$16.46,Your Name,
07/17/19,112-0000000-0000047,Visa - 0001,Amazon.com,,your_email@gmail.com,07/18/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$36.49,$0.00,$2.01,$0.00,$2.01,$38.50,Your Name,
07/18/19,112-0000000-0000048,Visa - 0001,Amazon.com,,your_email@gmail.com,07/19/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$15.95,$0.00,$0.00,$0.00,$0.00,$15.95,Your Name,
07/18/19,112-0000000-0000049,Visa - 0001,Amazon.com,,your_email@gmail.com,07/18/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$99.63,$0.00,$3.34,$0.00,$3.34,$102.97,Your Name,
07/18/19,112-0000000-0000050,Visa - 0001,Amazon.com,,your_email@gmail.com,07/18/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.78,$0.00,$0.70,$0.00,$0.70,$13.48,Your Name,
07/18/19,112-0000000-0000051,Visa - 0001,Amazon.com,,your_email@gmail.com,07/18/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.78,$0.00,$0.70,$0.00,$0.70,$13.48,Your Name,
07/21/19,112-0000000-0000052,Visa - 0001,Amazon.com,,your_email@gmail.com,07/21/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$6.49,$0.00,$0.36,$0.00,$0.36,$6.85,Your Name,
07/21/19,112-0000000-0000053,Visa - 0001,Amazon.com,,your_email@gmail.com,07/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$5.76,$0.00,$0.00,$0.00,$0.00,$5.76,Your Name,
07/23/19,112-0000000-0000054,Visa - 0001,Amazon.com,,your_email@gmail.com,07/23/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$42.93,$0.00,$2.36,$0.00,$2.36,$45.29,Your Name,
07/30/19,112-0000000-0000055,Visa - 0001,Amazon.com,,your_email@gmail.com,07/31/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$49.99,$0.00,$0.00,$15.00,$0.00,$34.99,Your Name,
07/30/19,112-0000000-0000056,Visa - 0001,Amazon.com,,your_email@gmail.com,08/01/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$6.30,$0.00,$0.00,$0.00,$0.00,$6.30,Your Name,
07/30/19,112-0000000-0000057,Visa - 0001,Amazon.com,,your_email@gmail.com,08/01/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$5.99,$0.00,$0.05,$5.00,$0.05,$1.04,Your Name,
07/31/19,112-0000000-0000058,Visa - 0001,Amazon.com,,your_email@gmail.com,07/31/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$35.99,$0.00,$0.00,$0.00,$0.00,$35.99,Your Name,
07/31/19,112-0000000-0000059,Visa - 0001,Amazon.com,,your_email@gmail.com,08/01/19,Your Friend,5 FRIEND STREET APT. 1,,WASHINGTON,DC,20001-5497,Shipped,UPS(0002),$54.88,$0.00,$3.29,$0.00,$3.29,$58.17,Your Name,
